sensor_key,sensor_description,value,last_shared_date,period(min)
CO@2_0_16,House 2_Floor1_LivingRoom_Electric_Sockets_CumEnergy,,,
CO@2_0_162,House 2_Floor1_Bathroom_Electric_Lights_Control,0.0,2024-05-24 11:40:16,
CO@2_0_163,House 2_Floor1_Bathroom_Electric_Lights_Status,0.0,2024-05-24 11:40:16,
CO@2_0_165,House 2_Floor1_Bathroom_Electric_Lights_Current,0.0,2024-05-24 11:40:20,
CO@2_0_166,House 2_Floor1_Bathroom_Electric_Lights_Power,0.0,2024-05-24 11:40:20,
CO@2_0_168,House 2_Floor1_Bathroom_Electric_Lights_CumEnergy,,,
CO@2_0_18,House 2_Floor1_Kitchen_Electric_Sockets_Control,0.0,2024-03-15 13:36:22,
CO@2_0_19,House 2_Floor1_Kitchen_Electric_Sockets_Status,0.0,2024-03-15 13:36:22,
CO@2_0_194,House 2_Floor_Global_Electric_Immersion_Control,,,
CO@2_0_195,House 2_Floor_Global_Electric_Immersion_Status,,,
CO@2_0_197,House 2_Floor_Global_Electric_Immersion_Current,,,
CO@2_0_198,House 2_Floor_Global_Electric_Immersion_Power,,,
CO@2_0_2,House 2_Floor_Global_Electric_Current,,,
CO@2_0_200,House 2_Floor_Global_Electric_Immersion_CumEnergy,,,
CO@2_0_202,House 2_Floor1_Kitchen_Electric_Hob_Control,,,
CO@2_0_203,House 2_Floor1_Kitchen_Electric_Hob_Status,,,
CO@2_0_205,House 2_Floor1_Kitchen_Electric_Hob_Current,0.0,2023-12-11 13:43:23,
CO@2_0_206,House 2_Floor1_Kitchen_Electric_Hob_Power,3.1089999675750732,2024-06-05 10:54:03,203.2
CO@2_0_208,House 2_Floor1_Kitchen_Electric_Hob_CumEnergy,14.0,2024-05-28 20:12:05,
CO@2_0_21,House 2_Floor1_Kitchen_Electric_Sockets_Current,0.0,2024-03-15 13:36:21,
CO@2_0_22,House 2_Floor1_Kitchen_Electric_Sockets_Power,0.0,2024-03-15 13:36:21,
