#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
688,SEABOURN OVATION,SEAOVA,CRUISE,20162,210.00,28.0,6.80,41865,,NASSAU,01/09/2017,BAHAMAS,4784.00,9764958
689,SEABOURN QUEST,SEAQUEST,CRUISE,20162,198.00,,6.70,32346,10657.00,NASSAU,28/05/2011,BAHAMAS,3666.00,9483126
690,SEABOURN SOJOURN,SEABOURN SOJOURN,CRUISE,20162,198.00,,,32346,,,,,,
691,SEACAT ENDEAVOUR,SCATEN,WAVE PIERCING CRAFT,20099,19.00,7,1.00,49,,,,,,
692,SEADREAM I,SEAD1,CRUISE,20162,108.00,14,7.20,4253,,NASSAU,01/01/1998,BAHAMANIAN,,8203438
693,SEAFIN,SFIN,MISCELLANEOUS,932804,22.08,14,,200,150.00,,,,0.00,235075504
694,SEAGREEN,SGREN,MISCELLANEOUS,CASH,35.00,10,,30,1.00,,,,1.00,
695,SEAHORSE,SEA,MISCELLANEOUS,,24.00,5,,30,2.00,SOUTHAMPTON,28/07/2020,UK,2.00,
696,SEAJACKS LEVITHAN,SEAJ,MISC BARGE,202362,76.00,36,,5186,,,,,,
697,SEALION,SLION,MISCELLANEOUS,CASH,26.00,10,,99,,,,,,
698,SEATRADE ORANGE,SORG,FREIGHTER,28813,185.00,30,10.00,24901,9207.00,MONROVIA,,LIBERIA,26947.00,9690092
699,SEATRADE SERVICE,SEATRADE SERVICE,FREIGHTER,28813,99.00,,,99,,,,,,
700,SEAWOLF,SEAW,MISCELLANEOUS,639724,57.90,11.23,4.97,851,255.00,MARSHALL ISLANDS,01/01/1990,,407.00,5076298
701,SELINA,SEL,MISC BARGE,507300,85.00,,,99999,,UK,,,,
702,SERENISSIMA,SISSMA,CRUISE,20162,87.41,13,4.00,2598,829.00,KINGSTOWN,01/01/1960,,590.00,5142657
703,SEVEN SEAS NAVIGATOR,SSNAV,CRUISE,20162,171.00,,,28550,,,,,,
704,SEVEN SEAS SPLENDOR,SSSPLENDOUR,CRUISE,20162,224.00,31,7.20,55948,20738.00,MAJURO,01/01/2020,,5643.00,9807085
705,SEVEN SISTERS,SEV,FERRY,COMDCK,142.45,24,5.00,18940,5527.00,DIEPPE,,FRANCE,3608.00,9320130
706,SEVILLA CARRIER,SCARR,FREIGHTER,28813,134.01,20,7.00,5994,3362.00,MONROVIA,,LIBERIA,7252.00,9078488
707,SH DIANA,SHDIANA,CRUISE,20162,125.00,,,12255,,,,,,
708,SH MINERVA,SHMIN,CRUISE,20162,115.00,,,10600,,,,,,
709,SH VEGA,VEGA,CRUISE,20162,113.00,,5.70,10700,,VALLETTA,01/01/2022,MALTA,,9895252
710,SHEEP DOG,SDOG,TUG,423437,28.00,,3.00,151,,,,,,4904761
711,SHEMARA,SMARA,MISCELLANEOUS,57668,65.00,9,3.00,878,480.00,JERSEY,,UNITED KINGDOM,,
712,SHEMARA-WILLJAY,SWILL,MISCELLANEOUS,57668,65.00,9,3.00,878,480.00,JERSEY,,UNITED KINGDOM,,
713,SHETLAND TRADER,SHET TRAD,FREIGHTER,248689,74.94,11.4,4.35,1512,696.00,BRIDGETOWN,01/07/1992,,2386.00,9030486
714,SHIELDHALL,SHALL,MISCELLANEOUS,1014716,81.69,13,4.00,1753,999.00,GLASGOW,,UNITED KINGDOM,1870.00,5322752
715,SHOALWAY,SHWAY,DREDGER,20193,90.00,19,7.00,4088,1229.00,,,NETHERLANDS,5490.00,9556337
716,SIA,SIA,MISCELLANEOUS,423437,77.20,16,2.00,2525,758.00,KLINTEBJERG,31/08/1978,DENMARK,1000.00,7715434
717,SIEGFRIED LEHMANN,SIEG,FREIGHTER,507300,89.80,15.20,3.80,3183,,ST JOHNS,01/01/2005,ANTIGUA & BARBUDA,,9325142
718,SIEM N SEA,SSEA,MISCELLANEOUS,507300,93.60,19,6.00,4869,1616.00,NASSAU,,BAHAMAS,4257.00,9424508
719,SILVER CLOUD,SCLOUD,CRUISE,423437,155.00,21,5.00,16927,5302.00,NASSAU,01/01/1994,BAHAMAS,,8903923
720,SILVER DAWN,SILVER DAWN,CRUISE,20162,213.00,27,6.70,40700,,,,,,9857937
721,SILVER ENDEAVOUR,SILV END,CRUISE,20162,164.40,23.4,6.10,20449,6630.00,NASSAU,01/06/2021,BAHAMAS,2070.00,9821873
722,SILVER EXPLORER,SILEXP,CRUISE,423437,108.11,15,4.00,6130,1839.00,NASSAU,,BAHAMAS,635.00,8806747
723,SILVER SPIRIT,SVRSP,CRUISE,20162,196.00,,,36000,,BAHAMAS,,,,9437866
724,SILVER WIND,SILVERW,CRUISE,20162,156.00,,,16800,,,,,,
725,SIMON B,SIMON B,FREIGHTER,563504,82.00,11.5,4.20,1587,843.00,HAMBERG,,GERMANY,2380.00,8511029
726,SIRENA,SIRENA,CRUISE,20162,181.00,25.46,5.95,30277,11481.00,MAJURO,05/12/1999,MARSHALL ISLANDS,2700.00,9187899
727,SIRIUS,SRIUS,TUG,507300,26.62,8,4.00,189,,,01/01/1977,NETHERLANDS,106.00,7700180
728,SJARD,SJARD,FREIGHTER,563504,143.17,22.8,9.70,12936,5824.00,SAINT JOHNS,01/01/2007,ANTIGUA & BARBUDA,17305.00,9303314
729,SLOMAN DISPATCHER,SLOM,FREIGHTER,563504,138.20,21,8.00,9611,4260.00,SAINT JOHN'S,01/01/2012,ANTIGUA & BARBUDA,12634.00,9620657
730,SOLENT RAIDER,SRAID,FUEL BARGE,20104,58.91,10,2.00,605,329.00,POOLE,01/01/1968,UNITED KINGDOM,,
731,SOLITAS - H,SOLITAS,FREIGHTER,563504,89.75,12.5,5.49,2518,1837.00,LIMASSOL,01/02/2021,CYPRUS,3789.00,9858670
732,SOSPAN DAU,SDAU,DREDGER,20193,70.36,14,3.00,1546,463.00,PAPENDRECHT,07/06/2013,NETHERLANDS,2134.00,7711062
733,SOUTHERN BAY,SNBAY,FREIGHTER,28813,143.00,22,8.00,8879,4366.00,MONROVIA,,LIBERIA,,9152181
